axis_ratio,removal,seed,eigengap,axis_drift_degrees
1.001,0.01,25,0.002115726187904143,13.474748569873034
1.001,0.1,25,0.008611712733450948,65.16565314560584
1.001,0.5,25,0.023833404085023824,75.84343004531148
1.001,0.9,25,0.11223433701082028,3.9834585769874504
1.001,0.01,26,0.004796197879455935,12.361370436864162
1.001,0.1,26,0.017772882947514487,7.934863797897346
1.001,0.5,26,0.06748845153149359,36.690376067739884
1.001,0.9,26,0.21563662770255174,16.890892961936707
1.001,0.01,27,0.0032002957389406675,58.463146177414316
1.001,0.1,27,0.012795019226116545,31.996353875418485
1.001,0.5,27,0.024179658068732415,79.46116524586776
1.001,0.9,27,0.22464994408329717,77.05874958721076
1.001,0.01,28,0.004671961754973899,1.8511456418572305
1.001,0.1,28,0.01140724430024113,8.870513934341664
1.001,0.5,28,0.031200025312637884,7.025165063502832
1.001,0.9,28,0.07767566053891153,63.18712417484466
1.001,0.01,29,0.0035826958716347283,1.0388719368545984
1.001,0.1,29,0.012460717692563711,54.95186795021001
1.001,0.5,29,0.03554324479110597,74.2978019971523
1.001,0.9,29,0.11645747403426632,59.16978851354457
1.01,0.01,0,0.020324524921227893,1.6982214579279689
1.01,0.1,0,0.03479601558473779,7.1869235347110365
1.01,0.5,0,0.04113992192666294,67.55082512606913
1.01,0.9,0,0.06526195286679277,16.15901628750842
1.01,0.01,1,0.02417038906768381,3.2398426459043086
1.01,0.1,1,0.014505658095341227,1.9308187032944164
1.01,0.5,1,0.04730503394481047,1.3252528782540376
1.01,0.9,1,0.1512566645594989,81.03906355100008
1.01,0.01,2,0.018992393114752926,1.8457634237457725
1.01,0.1,2,0.003810111996244349,9.833400548811131
1.01,0.5,2,0.020121333367910978,30.208575038165833
1.01,0.9,2,0.1528850381221013,13.96086705288193
1.01,0.01,3,0.02731929107851698,0.13219428318505955
1.01,0.1,3,0.020465451571919605,6.594533286810537
1.01,0.5,3,0.05320339529744317,13.59132758584082
1.01,0.9,3,0.0341740918637613,2.3779278079538786
1.01,0.01,4,0.022554626226588922,9.801578663998743
1.01,0.1,4,0.019309612742396697,15.083255160727173
1.01,0.5,4,0.032697735789474096,1.7569028297168867
1.01,0.9,4,0.09883562224542881,51.70449270869674
1.01,0.01,5,0.016814878956230968,1.3475583382787193
1.01,0.1,5,0.01659260369225852,8.135439745425538
1.01,0.5,5,0.06457022717713434,27.692519123901693
1.01,0.9,5,0.06769044992624597,15.743571171544323
1.01,0.01,6,0.01547672029417993,5.407867315536206
1.01,0.1,6,0.024252849166421644,13.180560379564652
1.01,0.5,6,0.027543697391418858,1.691547957826057
1.01,0.9,6,0.1577365176760661,27.0285311557348
1.01,0.01,7,0.01683275004917152,6.620114565637017
1.01,0.1,7,0.009288074103947783,37.84193823839849
1.01,0.5,7,0.05483984948598141,16.647513006861725
1.01,0.9,7,0.03976031692600177,52.38698717725233
1.01,0.01,8,0.018978962291984213,5.447717706767683
1.01,0.1,8,0.018275652363040344,0.505208250127002
1.01,0.5,8,0.06659626470819398,0.8424839535007478
1.01,0.9,8,0.0926472247400609,86.57781850868419
1.01,0.01,9,0.02322575307075829,0.9106100347076492
1.01,0.1,9,0.030424516008058313,24.579737456297227
1.01,0.5,9,0.06409941575303248,36.899327529212584
1.01,0.9,9,0.13812147076341236,15.221465518288523
1.01,0.01,10,0.02048846132394171,3.544517295722331
1.01,0.1,10,0.016149224391531304,16.63547708010174
1.01,0.5,10,0.033345981614908086,86.7413609776599
1.01,0.9,10,0.09656543663033275,20.21219838669299
1.01,0.01,11,0.023135544566100053,1.4946911565885834
1.01,0.1,11,0.01847588188361091,4.938519032528487
1.01,0.5,11,0.03935349237410293,27.333248875035977
1.01,0.9,11,0.17911971589487388,89.79314352681997
1.01,0.01,12,0.015011854382085252,0.7700045677629138
1.01,0.1,12,0.01457592721531184,10.792655910139406
1.01,0.5,12,0.04802519208778274,4.330494377456738
1.01,0.9,12,0.1084305937242635,40.039184624870636
1.01,0.01,13,0.0234281650371606,5.740762969330169
1.01,0.1,13,0.0248595353743043,2.174295783439631
1.01,0.5,13,0.006860388751589097,87.29787973253838
1.01,0.9,13,0.024950055971497926,37.486108698585525
1.01,0.01,14,0.021747374104035665,3.9099351811709178
1.01,0.1,14,0.01605892278166859,17.077157517893777
1.01,0.5,14,0.06122185073657212,25.883579629256772
1.01,0.9,14,0.08389080402124659,64.33909998073958
1.01,0.01,15,0.023600473156591893,4.670865641680045
1.01,0.1,15,0.018973590790490907,9.743568418744076
1.01,0.5,15,0.06451108329106456,0.9134438927036858
1.01,0.9,15,0.21153687341736,67.9119672870988
1.01,0.01,16,0.02088617152228226,6.211013770645461
1.01,0.1,16,0.032081163573676116,12.867832559180776
