dataset,attack,attack_seed,sampling_seed,cap,nc,bit_accuracy,empty_bins
Railways,object_delete_90pct,1,5,1000000,0.9526173336479747,0.94140625,6
Railways,object_delete_90pct,1,6,1000000,0.9526173336479747,0.94140625,6
Railways,object_delete_90pct,1,7,1000000,0.9526173336479747,0.94140625,6
Railways,object_delete_90pct,1,8,1000000,0.9526173336479747,0.94140625,6
Railways,object_delete_90pct,1,9,1000000,0.9526173336479747,0.94140625,6
Railways,vertex_delete_50pct,2,0,1,0.735287002530314,0.6923828125,0
Railways,vertex_delete_50pct,2,1,1,0.7355441475205947,0.6943359375,0
Railways,vertex_delete_50pct,2,2,1,0.7406489735117733,0.6943359375,0
Railways,vertex_delete_50pct,2,3,1,0.7498572056680706,0.708984375,0
Railways,vertex_delete_50pct,2,4,1,0.7579457277807466,0.716796875,0
Railways,vertex_delete_50pct,2,5,1,0.7434145850079609,0.705078125,0
Railways,vertex_delete_50pct,2,6,1,0.7251192022166418,0.677734375,0
Railways,vertex_delete_50pct,2,7,1,0.7546227828892688,0.7109375,0
Railways,vertex_delete_50pct,2,8,1,0.7362986093533262,0.689453125,0
Railways,vertex_delete_50pct,2,9,1,0.7411288893649614,0.693359375,0
Railways,vertex_delete_50pct,2,0,3,0.8231499914427172,0.791015625,0
Railways,vertex_delete_50pct,2,1,3,0.8283250865328128,0.798828125,0
Railways,vertex_delete_50pct,2,2,3,0.8189550977207486,0.7880859375,0
Railways,vertex_delete_50pct,2,3,3,0.8079979620931708,0.7724609375,0
Railways,vertex_delete_50pct,2,4,3,0.8040825435647998,0.76953125,0
Railways,vertex_delete_50pct,2,5,3,0.8131727983645296,0.78125,0
Railways,vertex_delete_50pct,2,6,3,0.8226956798020904,0.791015625,0
Railways,vertex_delete_50pct,2,7,3,0.8056468060730718,0.76953125,0
Railways,vertex_delete_50pct,2,8,3,0.816276629737568,0.7822265625,0
Railways,vertex_delete_50pct,2,9,3,0.8218081172611643,0.791015625,0
Railways,vertex_delete_50pct,2,0,5,0.8510644963469901,0.82421875,0
Railways,vertex_delete_50pct,2,1,5,0.8468445498496033,0.8203125,0
Railways,vertex_delete_50pct,2,2,5,0.8685510649241944,0.841796875,0
Railways,vertex_delete_50pct,2,3,5,0.8793194040728801,0.853515625,0
Railways,vertex_delete_50pct,2,4,5,0.8631184999601996,0.8359375,0
Railways,vertex_delete_50pct,2,5,5,0.8600371485457252,0.83203125,0
Railways,vertex_delete_50pct,2,6,5,0.850679101916547,0.8232421875,0
Railways,vertex_delete_50pct,2,7,5,0.8538345181376386,0.8251953125,0
Railways,vertex_delete_50pct,2,8,5,0.8530725960596487,0.8251953125,0
Railways,vertex_delete_50pct,2,9,5,0.8503189294090091,0.8232421875,0
Railways,vertex_delete_50pct,2,0,10,0.9359786321321074,0.9189453125,0
Railways,vertex_delete_50pct,2,1,10,0.9303440851405045,0.912109375,0
Railways,vertex_delete_50pct,2,2,10,0.9338618288972997,0.916015625,0
Railways,vertex_delete_50pct,2,3,10,0.9366681605141778,0.9189453125,0
Railways,vertex_delete_50pct,2,4,10,0.9319058565108378,0.9130859375,0
Railways,vertex_delete_50pct,2,5,10,0.9304842103984708,0.912109375,0
Railways,vertex_delete_50pct,2,6,10,0.9317060856158373,0.9150390625,0
Railways,vertex_delete_50pct,2,7,10,0.9373978575600344,0.9208984375,0
Railways,vertex_delete_50pct,2,8,10,0.9389452919843752,0.923828125,0
Railways,vertex_delete_50pct,2,9,10,0.9319541587492168,0.9150390625,0
