dataset,mode,attack,n,nc_mean,nc_std,ba_mean,ba_std,ber_mean,empty_mean,votes_mean,extraction_seconds_mean
Building,legacy,rotation_90,1,0.9864620122373194,0.0,0.9833984375,0.0,0.0166015625,0.0,40.1689453125,0.1215680839959532
Building,legacy,scale_0p5,1,0.9976162063830435,0.0,0.9970703125,0.0,0.0029296875,0.0,37.0205078125,0.11905195802683011
Building,legacy,translation_10,1,0.9944340175269573,0.0,0.9931640625,0.0,0.0068359375,0.0,40.095703125,0.11397983302595094
Building,legacy,vertex_add_10pct,1,0.984045648229397,0.0,0.98046875,0.0,0.01953125,0.0,43.7861328125,0.13951670803362504
Building,legacy,vertex_add_30pct,1,0.9712658346160282,0.0,0.96484375,0.0,0.03515625,0.0,51.1220703125,0.143842332996428
Building,legacy,vertex_add_50pct,1,0.9441087306876195,0.0,0.931640625,0.0,0.068359375,0.0,58.40234375,0.15612004196736962
Building,legacy,vertex_delete_30pct,1,0.9688898203677916,0.0,0.9619140625,0.0,0.0380859375,0.0,31.3056640625,0.12367683398770168
Building,legacy,vertex_delete_50pct,1,0.929309268519847,0.0,0.9130859375,0.0,0.0869140625,0.0,25.791015625,0.10804308298975229
Lake,legacy,compound,1,0.8491213024464579,0.0,0.8193359375,0.0,0.1806640625,0.0,36.939453125,0.09171029197750613
Lake,legacy,crop_half_x,1,0.9992060340153568,0.0,0.9990234375,0.0,0.0009765625,0.0,61.6357421875,0.12144804198760539
Lake,legacy,no_attack,1,1.0,0.0,1.0,0.0,0.0,0.0,64.197265625,0.1401444170041941
Lake,legacy,noise_10pct_0p6tau,1,0.9968216095175163,0.0,0.99609375,0.0,0.00390625,0.0,64.244140625,0.13509279099525884
Lake,legacy,noise_50pct_1p4tau,1,0.8287899232572371,0.0,0.794921875,0.0,0.205078125,0.0,64.380859375,0.1305999580072239
Lake,legacy,object_delete_30pct,1,0.9992060340153568,0.0,0.9990234375,0.0,0.0009765625,0.0,47.5322265625,0.10875033301999792
Lake,legacy,object_delete_90pct,1,0.9049694551062131,0.0,0.880859375,0.0,0.119140625,0.0,6.4609375,0.017503500042948872
Lake,legacy,reverse_objects,1,1.0,0.0,1.0,0.0,0.0,0.0,64.197265625,0.14259366696933284
Lake,legacy,reverse_vertices,1,1.0,0.0,1.0,0.0,0.0,0.0,64.1982421875,0.1331211660290137
Lake,legacy,rotation_135,1,1.0,0.0,1.0,0.0,0.0,0.0,64.2861328125,0.1318533329758793
Lake,legacy,rotation_180,1,1.0,0.0,1.0,0.0,0.0,0.0,64.1982421875,0.13024341699201614
Lake,legacy,rotation_225,1,1.0,0.0,1.0,0.0,0.0,0.0,64.2880859375,0.12835462496150285
Lake,legacy,rotation_270,1,1.0,0.0,1.0,0.0,0.0,0.0,64.2001953125,0.13235966605134308
