dataset,mode,attack,seed,nc,bit_accuracy,ber,extraction_seconds,votes_total,empty_bins,votes_min,votes_median,votes_mean,votes_max,ties,variant,eigengap,retained_vertices
Landuse,legacy,reverse_vertices,0,0.9992060340153568,0.9990234375,0.0009765625,0.10524075001012534,42694,0,21,41.0,41.693359375,344,0,embed_pca_key,0.77937762500355,43939
Landuse,legacy,reverse_objects,0,0.9992060340153568,0.9990234375,0.0009765625,0.11523558298358694,42692,0,21,40.0,41.69140625,340,0,embed_pca_key,0.7793776250035499,43939
Landuse,legacy,compound,0,0.8937081801542928,0.8701171875,0.1298828125,0.06917620898457244,25686,0,9,24.0,25.083984375,298,45,embed_pca_key,0.26291812404002074,27179
Boundary,legacy,no_attack,0,1.0,1.0,0.0,0.22772445797454566,123842,0,89,121.0,120.939453125,199,1,embed_pca_key,0.5115432108378744,123933
Boundary,legacy,vertex_delete_30pct,0,0.9720152795189112,0.9658203125,0.0341796875,0.15479687496554106,86968,0,55,85.0,84.9296875,151,9,embed_pca_key,0.5114873542341766,87059
Boundary,legacy,vertex_delete_50pct,0,0.8727036150462316,0.8466796875,0.1533203125,0.10791550000431016,62350,0,34,60.5,60.888671875,127,34,embed_pca_key,0.5124275829916638,62441
Boundary,legacy,object_delete_30pct,0,0.9976174711631861,0.9970703125,0.0029296875,0.16147583298152313,88659,0,59,86.0,86.5810546875,144,3,embed_pca_key,0.4794801338967082,88726
Boundary,legacy,object_delete_90pct,0,0.8969900329145698,0.873046875,0.126953125,0.03205329104093835,18096,0,6,17.0,17.671875,37,53,embed_pca_key,0.7106715099449785,18114
Boundary,legacy,vertex_add_10pct,0,0.9936419552606822,0.9921875,0.0078125,0.22589195799082518,136276,0,99,132.0,133.08203125,205,1,embed_pca_key,0.5110216967445723,136361
Boundary,legacy,vertex_add_30pct,0,0.9695060096188166,0.962890625,0.037109375,0.2701863340334967,160889,0,119,157.0,157.1181640625,228,5,embed_pca_key,0.5122120728676853,160959
Boundary,legacy,vertex_add_50pct,0,0.9034765305583988,0.8828125,0.1171875,0.297933624999132,185611,0,143,181.0,181.2607421875,267,11,embed_pca_key,0.5110017319939505,185678
Boundary,legacy,noise_10pct_0p6tau,0,0.9944340175269573,0.9931640625,0.0068359375,0.22097675001714379,123856,0,93,121.0,120.953125,182,4,embed_pca_key,0.5094657856407542,123933
Boundary,legacy,noise_50pct_1p4tau,0,0.8198291112197837,0.7861328125,0.2138671875,0.2100507079740055,123903,0,83,121.0,120.9990234375,159,29,embed_pca_key,0.45948259089531285,123933
Boundary,legacy,crop_half_x,0,0.9992060340153568,0.9990234375,0.0009765625,0.20961129199713469,120048,0,88,117.0,117.234375,197,1,embed_pca_key,0.5240785689196212,120139
Boundary,legacy,translation_10,0,1.0,1.0,0.0,0.20470116700744256,123847,0,89,121.0,120.9443359375,199,1,pca_++,0.5115432108378747,123933
Boundary,legacy,scale_0p5,0,1.0,1.0,0.0,0.21630687499418855,123831,0,89,121.0,120.9287109375,199,2,pca_++,0.5115432108378744,123933
Boundary,legacy,rotation_45,0,0.9992060340153568,0.9990234375,0.0009765625,0.2048282910254784,123852,0,89,121.0,120.94921875,198,1,pca_++,0.5115432108378756,123933
Boundary,legacy,rotation_90,0,1.0,1.0,0.0,0.217341415991541,123842,0,89,121.0,120.939453125,199,2,pca_++,0.5115432108378745,123933
Boundary,legacy,rotation_135,0,0.9992060340153568,0.9990234375,0.0009765625,0.20667266700183973,123852,0,89,121.0,120.94921875,198,1,pca_++,0.5115432108378756,123933
Boundary,legacy,rotation_180,0,1.0,1.0,0.0,0.21517495799344033,123841,0,89,121.0,120.9384765625,199,2,pca_++,0.5115432108378745,123933
Boundary,legacy,rotation_225,0,0.9984114366459335,0.998046875,0.001953125,0.21138970798347145,123852,0,89,121.0,120.94921875,198,1,pca_++,0.5115432108378747,123933
Boundary,legacy,rotation_270,0,0.9992060340153568,0.9990234375,0.0009765625,0.21111570799257606,123843,0,89,121.0,120.9404296875,199,1,pca_++,0.5115432108378744,123933
Boundary,legacy,rotation_315,0,0.9992060340153568,0.9990234375,0.0009765625,0.21329479198902845,123851,0,89,121.0,120.9482421875,197,1,pca_++,0.5115432108378752,123933
Boundary,legacy,reverse_vertices,0,1.0,1.0,0.0,0.20503662497503683,123843,0,89,121.0,120.9404296875,199,2,embed_pca_key,0.5115432108378747,123933
Boundary,legacy,reverse_objects,0,1.0,1.0,0.0,0.23802208300912753,123842,0,89,121.0,120.939453125,199,1,embed_pca_key,0.5115432108378763,123933
Boundary,legacy,compound,0,0.801531910859373,0.765625,0.234375,0.13796850002836436,68382,0,43,66.0,66.779296875,99,33,embed_pca_key,0.4756644420225858,68429
Road,legacy,no_attack,0,0.9992072927806908,0.9990234375,0.0009765625,0.13187941705109552,69322,0,36,68.0,67.697265625,92,1,pca_++,0.5103117620278611,69362
Road,legacy,vertex_delete_30pct,0,0.981792159997437,0.9775390625,0.0224609375,0.09200612502172589,49052,0,30,48.0,47.90234375,72,7,embed_pca_key,0.5070947410713367,49092
Road,legacy,vertex_delete_50pct,0,0.8869471730568279,0.861328125,0.138671875,0.0667326669790782,35522,0,14,35.0,34.689453125,53,39,embed_pca_key,0.5070030125519202,35562
Road,legacy,object_delete_30pct,0,0.9968253968253968,0.99609375,0.00390625,0.09923437505494803,50129,0,27,49.0,48.9541015625,72,2,embed_pca_key,0.5065760324943538,50153
Road,legacy,object_delete_90pct,0,0.8775360348869248,0.8505859375,0.1494140625,0.014884000003803521,8045,0,1,8.0,7.8564453125,18,81,embed_pca_key,0.4865182036334795,8053
Road,legacy,vertex_add_10pct,0,0.993662103599709,0.9921875,0.0078125,0.14056599995819852,76189,0,42,74.0,74.4033203125,107,4,embed_pca_key,0.5097847363371913,76228
Road,legacy,vertex_add_30pct,0,0.9691238740619862,0.9619140625,0.0380859375,0.16588820796459913,89933,0,56,88.0,87.8251953125,126,9,embed_pca_key,0.5109098088763543,89964
Road,legacy,vertex_add_50pct,0,0.9073667665491842,0.88671875,0.11328125,0.20022666704608127,103571,0,69,101.0,101.1435546875,140,18,embed_pca_key,0.5095341288680272,103599
Road,legacy,noise_10pct_0p6tau,0,0.9944491628150685,0.9931640625,0.0068359375,0.12352274998556823,69326,0,42,68.0,67.701171875,93,2,embed_pca_key,0.4890312557712437,69362
Road,legacy,noise_50pct_1p4tau,0,0.8297216844473545,0.796875,0.203125,0.12582216697046533,69352,0,43,67.0,67.7265625,98,35,embed_pca_key,0.2484046138828202,69362
Road,legacy,crop_half_x,0,0.9968253968253968,0.99609375,0.00390625,0.12008575000800192,68430,0,36,67.0,66.826171875,92,2,embed_pca_key,0.5145139962393398,68470
Road,legacy,translation_10,0,0.9992072927806908,0.9990234375,0.0009765625,0.11399929196340963,69322,0,36,68.0,67.697265625,92,2,pca_++,0.5103117620278612,69362
Road,legacy,scale_0p5,0,0.9992072927806908,0.9990234375,0.0009765625,0.1146605410031043,69322,0,36,68.0,67.697265625,92,1,pca_++,0.5103117620278611,69362
Road,legacy,rotation_45,0,0.9984126984126984,0.998046875,0.001953125,0.11898220900911838,69322,0,35,68.0,67.697265625,92,3,pca_++,0.5103117620278617,69362
Road,legacy,rotation_90,0,0.9984126984126984,0.998046875,0.001953125,0.12841404101345688,69322,0,36,68.0,67.697265625,92,2,pca_++,0.5103117620278608,69362
Road,legacy,rotation_135,0,0.9984126984126984,0.998046875,0.001953125,0.11262791603803635,69322,0,35,68.0,67.697265625,92,3,pca_++,0.5103117620278617,69362
Road,legacy,rotation_180,0,0.9992072927806908,0.9990234375,0.0009765625,0.12301949999528006,69322,0,35,67.0,67.697265625,92,2,embed_pca_key,0.5103117620278608,69362
Road,legacy,rotation_225,0,0.9984126984126984,0.998046875,0.001953125,0.11449679097859189,69322,0,35,68.0,67.697265625,92,0,pca_++,0.5103117620278612,69362
Road,legacy,rotation_270,0,0.9984126984126984,0.998046875,0.001953125,0.11557066696695983,69322,0,36,68.0,67.697265625,92,2,pca_++,0.5103117620278608,69362
Road,legacy,rotation_315,0,0.9968253968253968,0.99609375,0.00390625,0.11631866602692753,69322,0,35,67.0,67.697265625,92,0,pca_++,0.5103117620278608,69362
Road,legacy,reverse_vertices,0,0.9992072927806908,0.9990234375,0.0009765625,0.1170710000442341,69321,0,36,68.0,67.6962890625,92,1,pca_++,0.5103117620278617,69362
Road,legacy,reverse_objects,0,0.998416467731765,0.998046875,0.001953125,0.13210954098030925,69322,0,36,68.0,67.697265625,92,3,embed_pca_key,0.5103117620278617,69362
Road,legacy,compound,0,0.8287178952487311,0.7919921875,0.2080078125,0.08500362501945347,39000,0,21,38.0,38.0859375,56,37,embed_pca_key,0.4683431203880156,39016
Lake,legacy,no_attack,0,1.0,1.0,0.0,0.1401444170041941,65738,0,37,64.0,64.197265625,93,1,embed_pca_key,0.07122946084577082,65928
Lake,legacy,vertex_delete_30pct,0,0.980114167674569,0.9755859375,0.0244140625,0.10608429100830108,46875,0,23,46.0,45.7763671875,71,11,embed_pca_key,0.06262031875490875,47065
Lake,legacy,vertex_delete_50pct,0,0.9192671669651021,0.90234375,0.09765625,0.07761091698193923,34286,0,17,33.0,33.482421875,53,25,embed_pca_key,0.0560654733789304,34476
Lake,legacy,object_delete_30pct,0,0.9992060340153568,0.9990234375,0.0009765625,0.10875033301999792,48673,0,28,47.0,47.5322265625,78,0,embed_pca_key,0.08415778995675155,48806
