dataset,mode,attack,seed,nc,bit_accuracy,ber,extraction_seconds,votes_total,empty_bins,votes_min,votes_median,votes_mean,votes_max,ties,variant,eigengap,retained_vertices
Landuse,audited,vertex_add_50pct,10,0.9463910756499456,0.93359375,0.06640625,0.1678447499871254,60657,0,39,59.0,59.2353515625,212,10,embed_pca_key,0.7790322317970932,64165
Landuse,audited,noise_10pct_0p6tau_m,10,0.9992060340153568,0.9990234375,0.0009765625,0.13052591704763472,40431,0,21,39.0,39.4833984375,293,0,embed_pca_key,0.7793776637935843,43939
Landuse,audited,noise_50pct_1p4tau_m,10,0.8546805084090671,0.8232421875,0.1767578125,0.1403222919907421,40431,0,22,39.0,39.4833984375,128,42,embed_pca_key,0.7793774531544928,43939
Landuse,audited,legacy_noise_50pct_1p4degrees,10,0.8616719619881604,0.8349609375,0.1650390625,0.13828958297381178,43102,0,20,42.0,42.091796875,115,43,embed_pca_key,0.03651183482614284,46610
Landuse,audited,compound_metric,10,0.8789571468055818,0.8525390625,0.1474609375,0.08598641597200185,22430,0,8,22.0,21.904296875,89,51,embed_pca_key,0.7808909433377759,24878
Boundary,audited,no_attack,0,1.0,1.0,0.0,0.21545120800146833,123780,0,89,121.0,120.87890625,170,1,embed_pca_key,0.5115432108378779,123933
Boundary,audited,crop_half_centroids,0,0.9944302029662154,0.9931640625,0.0068359375,0.11578799999551848,66674,0,44,65.0,65.111328125,93,7,embed_pca_key,0.18599174877496505,66757
Boundary,audited,rotation_45,0,0.9992060340153568,0.9990234375,0.0009765625,0.21307487500598654,123782,0,89,121.0,120.880859375,169,0,pca_++,0.5115432108378793,123933
Boundary,audited,rotation_90,0,1.0,1.0,0.0,0.19469383294926956,123780,0,89,121.0,120.87890625,170,1,pca_++,0.5115432108378779,123933
Boundary,audited,rotation_135,0,0.9992060340153568,0.9990234375,0.0009765625,0.21181304199853912,123782,0,89,121.0,120.880859375,169,0,pca_++,0.5115432108378793,123933
Boundary,audited,rotation_180,0,1.0,1.0,0.0,0.19090624997625127,123780,0,89,121.0,120.87890625,169,1,pca_++,0.5115432108378779,123933
Boundary,audited,rotation_225,0,0.9992060340153568,0.9990234375,0.0009765625,0.2107524579623714,123782,0,89,121.0,120.880859375,169,1,pca_++,0.5115432108378797,123933
Boundary,audited,rotation_270,0,1.0,1.0,0.0,0.19150687503861263,123780,0,89,121.0,120.87890625,170,1,pca_++,0.5115432108378779,123933
Boundary,audited,rotation_315,0,0.9992060340153568,0.9990234375,0.0009765625,0.2102677910006605,123782,0,89,120.5,120.880859375,168,1,pca_++,0.5115432108378798,123933
Boundary,audited,translation_10,0,1.0,1.0,0.0,0.19183325004996732,123781,0,89,121.0,120.8798828125,170,1,pca_++,0.5115432108378787,123933
Boundary,audited,scale_0p5,0,1.0,1.0,0.0,0.19111449999036267,123778,0,89,121.0,120.876953125,170,1,pca_++,0.5115432108378779,123933
