dataset,mode,attack,n,nc_mean,nc_std,ba_mean,ba_std,ber_mean,empty_mean,votes_mean,extraction_seconds_mean
Landuse,audited,reverse_objects,1,1.0,0.0,1.0,0.0,0.0,0.0,39.4833984375,0.13127749995328486
Landuse,audited,reverse_vertices,1,1.0,0.0,1.0,0.0,0.0,0.0,39.4833984375,0.12372341699665412
Landuse,audited,rotation_135,1,0.9960352061369425,0.0,0.9951171875,0.0,0.0048828125,0.0,40.11328125,0.13284383300924674
Landuse,audited,rotation_180,1,1.0,0.0,1.0,0.0,0.0,0.0,39.4833984375,0.1282595829688944
Landuse,audited,rotation_225,1,0.9952380952380953,0.0,0.994140625,0.0,0.005859375,0.0,40.23046875,0.13310712500242516
Landuse,audited,rotation_270,1,1.0,0.0,1.0,0.0,0.0,0.0,39.4833984375,0.12772870901972055
Landuse,audited,rotation_315,1,0.9952380952380953,0.0,0.994140625,0.0,0.005859375,0.0,40.14453125,0.1340973330079578
Landuse,audited,rotation_45,1,0.9952380952380953,0.0,0.994140625,0.0,0.005859375,0.0,40.11328125,0.1329836249933578
Landuse,audited,rotation_90,1,1.0,0.0,1.0,0.0,0.0,0.0,39.4833984375,0.13365016598254442
Landuse,audited,scale_0p5,1,1.0,0.0,1.0,0.0,0.0,0.0,39.4833984375,0.13471512496471405
Landuse,audited,translation_10,1,1.0,0.0,1.0,0.0,0.0,0.0,39.4833984375,0.13127858296502382
Landuse,audited,vertex_add_10pct,10,0.9995236834474126,0.000555005473991443,0.9994140625,0.0006828182605274366,0.0005859375,0.0,43.45615234375,0.14326566239469685
Landuse,audited,vertex_add_30pct,10,0.9931794202708307,0.0029780541331430412,0.9916015625,0.003659757636082084,0.0083984375,0.0,51.33798828125,0.15559330431278795
Landuse,audited,vertex_add_50pct,10,0.9568303684264533,0.005206690136880137,0.94697265625,0.0066081530937254105,0.05302734375,0.0,59.19990234375,0.16689163359696976
Landuse,audited,vertex_delete_30pct,10,0.9950801550960406,0.0017018948177276387,0.9939453125,0.0020995462886194125,0.0060546875,0.0,28.64833984375,0.11689866258529946
Landuse,audited,vertex_delete_50pct,10,0.9425423525620765,0.005650189273740424,0.92919921875,0.006939780470484331,0.07080078125,0.0,21.5533203125,0.10206188779557124
Railways,audited,compound_metric,10,0.9281559297278641,0.004091064049869146,0.91201171875,0.005052393743148618,0.08798828125,0.0,29.679296875,0.08305471249041148
Railways,audited,crop_half_centroids,1,1.0,0.0,1.0,0.0,0.0,0.0,22.166015625,0.06103841704316437
Railways,audited,legacy_noise_50pct_1p4degrees,10,0.8912506042371394,0.007248286999514771,0.86748046875,0.008759474695752563,0.13251953125,0.0,51.244140625,0.12339694169932044
Railways,audited,no_attack,1,1.0,0.0,1.0,0.0,0.0,0.0,51.244140625,0.13629116700030863
Railways,audited,noise_10pct_0p6tau_m,10,0.9999207292780691,0.0002506760330675809,0.99990234375,0.0003088161777508144,9.765625e-05,0.0,51.244140625,0.12964476259658114
Railways,audited,noise_50pct_1p4tau_m,10,0.8904556199008026,0.009391990402945735,0.86708984375,0.011110231576652623,0.13291015625,0.0,51.244140625,0.13356179168913512
Railways,audited,object_delete_30pct,10,0.9998413326796047,0.00033450021337003307,0.9998046875,0.0004117549036677714,0.0001953125,0.0,35.959375,0.0972706001077313
Railways,audited,object_delete_90pct,10,0.9412375061574849,0.01257982554340103,0.9271484375,0.015331996693609322,0.0728515625,8.6,5.1474609375,0.01475677908747457
Railways,audited,reverse_objects,1,1.0,0.0,1.0,0.0,0.0,0.0,51.244140625,0.1311095419805497
Railways,audited,reverse_vertices,1,1.0,0.0,1.0,0.0,0.0,0.0,51.244140625,0.12195854197489098
Railways,audited,rotation_135,1,1.0,0.0,1.0,0.0,0.0,0.0,51.244140625,0.12883904203772545
Railways,audited,rotation_180,1,1.0,0.0,1.0,0.0,0.0,0.0,51.2431640625,0.12472345901187509
Railways,audited,rotation_225,1,1.0,0.0,1.0,0.0,0.0,0.0,51.244140625,0.12980170804075897
Railways,audited,rotation_270,1,1.0,0.0,1.0,0.0,0.0,0.0,51.244140625,0.12382416595937684
Railways,audited,rotation_315,1,1.0,0.0,1.0,0.0,0.0,0.0,51.244140625,0.12855154200224206
Railways,audited,rotation_45,1,1.0,0.0,1.0,0.0,0.0,0.0,51.244140625,0.12785954197170213
Railways,audited,rotation_90,1,1.0,0.0,1.0,0.0,0.0,0.0,51.244140625,0.12328066601185128
Railways,audited,scale_0p5,1,1.0,0.0,1.0,0.0,0.0,0.0,51.2421875,0.12297262501670048
Railways,audited,translation_10,1,1.0,0.0,1.0,0.0,0.0,0.0,51.244140625,0.12557816703338176
Railways,audited,vertex_add_10pct,10,0.9999206034015357,0.0002510740896170807,0.99990234375,0.00030881617775084595,9.765625e-05,0.0,55.83828125,0.15013755000545642
Railways,audited,vertex_add_30pct,10,0.9981770740709454,0.0009156521770573048,0.99775390625,0.0011323259850863332,0.00224609375,0.0,64.9826171875,0.14443420399329626
Railways,audited,vertex_add_50pct,10,0.9823365442247283,0.004013787512880613,0.9783203125,0.004932473157519745,0.0216796875,0.0,74.08427734375,0.1717247498978395
Railways,audited,vertex_delete_30pct,10,0.9990478701510052,0.0006265554104339721,0.998828125,0.00077032288842442,0.001171875,0.0,39.13994140625,0.1146294706966728
Railways,audited,vertex_delete_50pct,10,0.9884217436622931,0.004097451817151811,0.9857421875,0.005068099077090773,0.0142578125,0.0,31.09208984375,0.09483049138798379
Road,audited,compound_metric,10,0.8254064313331613,0.00831801935708582,0.7880859375,0.009479309751667341,0.2119140625,0.0,36.72900390625,0.07029051250428893
Road,audited,crop_half_centroids,1,0.9771261995656706,0.0,0.9716796875,0.0,0.0283203125,0.0,32.390625,0.057833584025502205
Road,audited,legacy_noise_50pct_1p4degrees,10,0.8159393465732856,0.0089497783118709,0.78037109375,0.010552600201484456,0.21962890625,0.0,67.7263671875,0.11902139170560985
Road,audited,no_attack,1,0.998416467731765,0.0,0.998046875,0.0,0.001953125,0.0,67.697265625,0.12226525001460686
Road,audited,noise_10pct_0p6tau_m,10,0.9915852543189285,0.002065821541893479,0.9896484375,0.002529864482776746,0.0103515625,0.0,67.7041015625,0.11689153339830227
Road,audited,noise_50pct_1p4tau_m,10,0.8196339710219498,0.012946821042093598,0.78271484375,0.014933212792954547,0.21728515625,0.0,67.7263671875,0.11771119160111994
Road,audited,object_delete_30pct,10,0.9938064066600252,0.0015372743559800772,0.9923828125,0.001886898013826758,0.0076171875,0.0,48.7306640625,0.08823280010255985
Road,audited,object_delete_90pct,10,0.8663554985449119,0.020571631019094035,0.83408203125,0.025835159401291656,0.16591796875,3.6,6.59345703125,0.012511395808542148
Road,audited,reverse_objects,1,0.998416467731765,0.0,0.998046875,0.0,0.001953125,0.0,67.697265625,0.12208166701020673
Road,audited,reverse_vertices,1,0.998416467731765,0.0,0.998046875,0.0,0.001953125,0.0,67.697265625,0.11395274999085814
Road,audited,rotation_135,1,0.9976212494588167,0.0,0.9970703125,0.0,0.0029296875,0.0,67.697265625,0.11675391701282933
Road,audited,rotation_180,1,0.9992072927806908,0.0,0.9990234375,0.0,0.0009765625,0.0,67.697265625,0.11304337502224371
Road,audited,rotation_225,1,0.9976212494588167,0.0,0.9970703125,0.0,0.0029296875,0.0,67.697265625,0.11904041696107015
Road,audited,rotation_270,1,0.998416467731765,0.0,0.998046875,0.0,0.001953125,0.0,67.697265625,0.11355608300073072
